ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
230510_at	1.59e-01	3.57e-02	-2.197374	-4.1393231	-1.0088854	HSPB9	heat shock protein family B (small) member 9
222392_x_at	1.59e-01	3.57e-02	2.197371	-4.1393282	0.9269792	PERP	PERP, TP53 apoptosis effector
226283_at	1.59e-01	3.57e-02	2.197106	-4.1398316	0.449295	POC1B	POC1 centriolar protein B
237621_at	1.59e-01	3.57e-02	-2.196736	-4.1405322	-0.7710116	GABRG3-AS1	GABRG3 antisense RNA 1
232317_at	1.59e-01	3.57e-02	-2.196711	-4.1405814	-0.7741481	PLXNA4	plexin A4
238913_at	1.60e-01	3.58e-02	2.196301	-4.1413585	0.4544728		
243895_x_at	1.60e-01	3.58e-02	-2.196079	-4.1417789	-0.8971152		
234476_at	1.60e-01	3.58e-02	-2.195894	-4.1421305	-0.3915651	DNAH7	dynein axonemal heavy chain 7
240548_at	1.60e-01	3.58e-02	-2.195551	-4.1427807	-0.8505352		
231304_at	1.60e-01	3.58e-02	-2.195487	-4.1429018	-0.3740197	PPP3R2	protein phosphatase 3 regulatory subunit B, beta
223296_at	1.60e-01	3.58e-02	-2.195423	-4.1430227	-0.5431241	SLC25A33	solute carrier family 25 member 33
230063_at	1.60e-01	3.58e-02	2.195266	-4.1433209	0.3577574	ZNF264	zinc finger protein 264
229032_at	1.60e-01	3.59e-02	-2.195039	-4.1437507	-0.6036027	WSCD2	WSC domain containing 2
228157_at	1.60e-01	3.59e-02	2.194804	-4.1441964	0.4475517	ZNF207	zinc finger protein 207
229007_at	1.60e-01	3.59e-02	2.194725	-4.1443469	1.0750796	LOC283788	FSHD region gene 1 pseudogene
225676_s_at	1.60e-01	3.59e-02	2.194219	-4.1453063	0.3088325	DCAF13	DDB1 and CUL4 associated factor 13
228241_at	1.60e-01	3.60e-02	-2.193703	-4.1462845	-0.7018825	AGR3	anterior gradient 3, protein disulphide isomerase family member
239659_at	1.60e-01	3.60e-02	-2.193564	-4.146548	-0.8410751		
227093_at	1.60e-01	3.60e-02	2.193395	-4.1468674	0.278794	USP36	ubiquitin specific peptidase 36
231888_at	1.60e-01	3.60e-02	2.193239	-4.1471627	0.5265278		
224435_at	1.60e-01	3.60e-02	-2.193027	-4.1475652	-0.2861921	FAM213A	family with sequence similarity 213 member A
232370_at	1.60e-01	3.60e-02	-2.192902	-4.147802	-0.5511641		
229928_at	1.60e-01	3.60e-02	2.192778	-4.1480362	0.5570761		
223640_at	1.60e-01	3.61e-02	-2.192487	-4.1485881	-0.537464	HCST	hematopoietic cell signal transducer
222529_at	1.60e-01	3.61e-02	2.19245	-4.1486587	1.1264708	SLC25A37	solute carrier family 25 member 37
228077_at	1.60e-01	3.61e-02	2.192217	-4.1490989	0.4063322	MRI1	methylthioribose-1-phosphate isomerase 1
236475_at	1.60e-01	3.61e-02	-2.19213	-4.1492647	-0.5237409	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
244742_at	1.60e-01	3.61e-02	-2.191876	-4.1497445	-0.5765329	LOC101929036///PAH	uncharacterized LOC101929036///phenylalanine hydroxylase
243280_at	1.60e-01	3.61e-02	-2.191732	-4.1500188	-0.3663598		
226783_at	1.60e-01	3.61e-02	2.191561	-4.1503413	0.5630044	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase
236958_at	1.61e-01	3.62e-02	-2.191321	-4.1507956	-0.645726	LOC100506473	uncharacterized LOC100506473
236583_at	1.61e-01	3.62e-02	-2.190332	-4.1526695	-0.4785297	GIMAP1	GTPase, IMAP family member 1
238565_at	1.61e-01	3.63e-02	2.189522	-4.1542026	0.5352201		
232483_at	1.61e-01	3.63e-02	2.189036	-4.1551219	0.5550455	MED17	mediator complex subunit 17
240239_at	1.61e-01	3.64e-02	2.188807	-4.1555551	0.7852154	ZNF566	zinc finger protein 566
235941_s_at	1.61e-01	3.64e-02	2.188723	-4.1557148	0.7329572	FAM224A///FAM224B	family with sequence similarity 224 member A (non-protein coding)///family with sequence similarity 224 member B (non-protein coding)
233106_at	1.61e-01	3.64e-02	-2.188694	-4.1557683	-0.443074	FRMD6-AS1	FRMD6 antisense RNA 1
238853_at	1.61e-01	3.64e-02	2.18849	-4.1561545	0.4024281	RAB3IP	RAB3A interacting protein
231189_at	1.61e-01	3.64e-02	-2.188371	-4.1563803	-0.2907598	LINC01126	long intergenic non-protein coding RNA 1126
241862_x_at	1.61e-01	3.64e-02	-2.188314	-4.1564872	-0.452221	C19orf45	chromosome 19 open reading frame 45
233761_at	1.61e-01	3.64e-02	-2.188109	-4.1568764	-0.3514963		
223957_at	1.61e-01	3.64e-02	-2.18761	-4.1578196	-0.7997404		
229175_at	1.62e-01	3.65e-02	2.187475	-4.1580738	0.2828475	SMYD4	SET and MYND domain containing 4
232933_at	1.62e-01	3.65e-02	-2.187071	-4.1588396	-0.5564851	KIAA1656	KIAA1656 protein
232141_at	1.62e-01	3.65e-02	2.186824	-4.1593062	1.081323	U2AF1	U2 small nuclear RNA auxiliary factor 1
238810_at	1.62e-01	3.65e-02	-2.18679	-4.1593704	-0.8709962	RFX3	regulatory factor X3
227402_s_at	1.62e-01	3.65e-02	-2.1867	-4.1595397	-0.5110776	UTP23	UTP23, small subunit processome component
231375_at	1.62e-01	3.65e-02	2.186675	-4.1595872	0.5205209	LOC202181	SUMO interacting motifs containing 1 pseudogene
235759_at	1.62e-01	3.65e-02	2.186548	-4.1598277	0.6469055		
226031_at	1.62e-01	3.65e-02	2.1865	-4.1599176	0.3402559	VPS50	VPS50, EARP/GARPII complex subunit
230527_at	1.62e-01	3.65e-02	-2.186375	-4.1601538	-0.7856141	LOC101926907	uncharacterized LOC101926907
227686_at	1.62e-01	3.66e-02	-2.185815	-4.1612137	-0.3429731	OXNAD1	oxidoreductase NAD binding domain containing 1
228629_s_at	1.62e-01	3.66e-02	-2.18574	-4.1613556	-0.5244226	WWTR1-AS1	WWTR1 antisense RNA 1
229191_at	1.62e-01	3.66e-02	-2.185548	-4.1617184	-0.8213086	LOC101929597///TBCD	uncharacterized LOC101929597///tubulin folding cofactor D
228024_at	1.62e-01	3.66e-02	2.185348	-4.1620968	0.307696	VPS37A	VPS37A, ESCRT-I subunit
231392_at	1.62e-01	3.66e-02	-2.185331	-4.1621273	-0.8735083		
239024_at	1.62e-01	3.66e-02	2.185194	-4.1623864	1.0434505	ZNF148	zinc finger protein 148
237993_at	1.62e-01	3.66e-02	-2.185137	-4.1624955	-0.557025	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5
227007_at	1.62e-01	3.67e-02	-2.184781	-4.1631668	-0.4533459	TMCO4	transmembrane and coiled-coil domains 4
225815_at	1.62e-01	3.67e-02	-2.184659	-4.1633976	-0.5688536	CPLX2	complexin 2
224524_s_at	1.62e-01	3.67e-02	2.184384	-4.1639176	0.305987	GPR75-ASB3///ASB3	GPR75-ASB3 readthrough///ankyrin repeat and SOCS box containing 3
236230_at	1.62e-01	3.67e-02	-2.183899	-4.1648333	-0.5950737		
230828_at	1.62e-01	3.68e-02	-2.18383	-4.1649647	-0.7501397	GRAMD2	GRAM domain containing 2
236931_at	1.62e-01	3.68e-02	2.183644	-4.1653149	1.0933926		
223188_at	1.62e-01	3.68e-02	-2.183433	-4.1657142	-0.7489866	SMG9	SMG9, nonsense mediated mRNA decay factor
223363_at	1.62e-01	3.68e-02	2.183409	-4.1657597	0.7940627	PSMG3	proteasome assembly chaperone 3
236569_at	1.62e-01	3.68e-02	-2.182961	-4.1666059	-0.3020765		
233671_at	1.62e-01	3.68e-02	2.182946	-4.1666334	0.39267	ZNF91	zinc finger protein 91
222604_at	1.62e-01	3.68e-02	2.182854	-4.1668065	0.4164132	GTF3C3	general transcription factor IIIC subunit 3
243526_at	1.62e-01	3.68e-02	-2.182822	-4.1668683	-0.5055852	WDR86	WD repeat domain 86
235218_x_at	1.62e-01	3.69e-02	-2.182573	-4.1673383	-0.4657521	THAP6	THAP domain containing 6
243839_s_at	1.62e-01	3.69e-02	2.182225	-4.1679957	0.6574266		
230664_at	1.63e-01	3.69e-02	-2.181859	-4.168686	-0.8861045	H2BFXP	H2B histone family member X, pseudogene
224573_at	1.63e-01	3.69e-02	2.181679	-4.1690262	0.3243658	RNASEK-C17orf49///RNASEK///C17orf49	RNASEK-C17orf49 readthrough///ribonuclease K///chromosome 17 open reading frame 49
227426_at	1.63e-01	3.70e-02	2.180997	-4.1703127	0.3066085	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1
233219_at	1.63e-01	3.70e-02	2.180506	-4.1712397	0.5451174		
232364_at	1.63e-01	3.71e-02	-2.180022	-4.1721536	-0.516714	LOC100506235	uncharacterized LOC100506235
225953_at	1.63e-01	3.71e-02	2.179782	-4.1726049	0.2800207	RPRD1A	regulation of nuclear pre-mRNA domain containing 1A
223675_s_at	1.63e-01	3.71e-02	2.179771	-4.172626	0.3670363	VEZT	vezatin, adherens junctions transmembrane protein
236041_at	1.63e-01	3.71e-02	-2.179681	-4.1727968	-0.3476418		
239406_at	1.63e-01	3.71e-02	-2.179262	-4.1735872	-0.6088791	ZSCAN9	zinc finger and SCAN domain containing 9
228265_at	1.63e-01	3.71e-02	-2.17892	-4.1742306	-0.5125604		
241653_x_at	1.63e-01	3.72e-02	-2.178757	-4.1745381	-1.2528863		
224737_x_at	1.63e-01	3.72e-02	2.178678	-4.1746872	0.4884931	CCAR1	cell division cycle and apoptosis regulator 1
227330_x_at	1.63e-01	3.72e-02	-2.178519	-4.1749867	-0.4656573	LOC100233156///TEKT4P2///MAFIP	tektin 4 pseudogene///tektin 4 pseudogene 2///MAFF interacting protein (pseudogene)
223638_at	1.63e-01	3.72e-02	2.178207	-4.1755768	0.7880497	NBPF3	neuroblastoma breakpoint family member 3
230966_at	1.63e-01	3.72e-02	-2.178028	-4.1759128	-0.981365	IL4I1	interleukin 4 induced 1
225914_s_at	1.63e-01	3.72e-02	2.177942	-4.1760763	0.2975831	CAB39L	calcium binding protein 39 like
235945_at	1.64e-01	3.72e-02	-2.177721	-4.1764925	-1.0000354		
235817_at	1.64e-01	3.73e-02	-2.177399	-4.1770993	-0.5878455	TMEM184A	transmembrane protein 184A
240297_at	1.64e-01	3.73e-02	2.176916	-4.1780096	0.2879549		
232612_s_at	1.64e-01	3.73e-02	2.17688	-4.1780773	0.6362049	ATG16L1	autophagy related 16 like 1
228470_at	1.64e-01	3.73e-02	-2.17682	-4.1781903	-0.7156465	RNF187	ring finger protein 187
227186_s_at	1.64e-01	3.73e-02	-2.176739	-4.1783434	-0.4917523	MRPL41	mitochondrial ribosomal protein L41
239846_at	1.64e-01	3.73e-02	2.176652	-4.1785068	0.5243213	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1
233684_at	1.64e-01	3.73e-02	-2.176638	-4.1785342	-0.4752552		
242980_at	1.64e-01	3.73e-02	2.176603	-4.1785987	0.7822753	COMMD10	COMM domain containing 10
242164_s_at	1.64e-01	3.73e-02	-2.176448	-4.1788906	-0.9707014	LRIG2	leucine rich repeats and immunoglobulin like domains 2
233343_at	1.64e-01	3.73e-02	-2.176434	-4.178918	-0.5753858	DEFB127	defensin beta 127
242559_at	1.64e-01	3.74e-02	-2.176392	-4.1789971	-0.7643379		
225186_at	1.64e-01	3.74e-02	2.17634	-4.1790955	0.9072353	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
226778_at	1.64e-01	3.74e-02	-2.175992	-4.1797498	-0.5940258	TDRP	testis development related protein
231254_at	1.64e-01	3.74e-02	-2.175989	-4.179757	-0.4574348		
233639_at	1.64e-01	3.74e-02	-2.175567	-4.180551	-0.4354501	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)
241447_at	1.64e-01	3.74e-02	-2.175551	-4.180582	-0.4925301	ING5	inhibitor of growth family member 5
238723_at	1.64e-01	3.74e-02	-2.175389	-4.1808874	-1.1217278	ATXN3	ataxin 3
222859_s_at	1.64e-01	3.75e-02	-2.175179	-4.1812827	-0.440745	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1
236414_at	1.64e-01	3.75e-02	-2.175062	-4.1815021	-0.9288001		
241476_at	1.64e-01	3.75e-02	-2.174981	-4.1816548	-0.803483	LOC105375115	uncharacterized LOC105375115
230338_x_at	1.64e-01	3.75e-02	2.174834	-4.1819322	0.5645726	GSX2	GS homeobox 2
243825_at	1.64e-01	3.75e-02	-2.174805	-4.1819859	-0.6492379	BCL6B	B-cell CLL/lymphoma 6B
231276_at	1.64e-01	3.75e-02	-2.174732	-4.182124	-0.5530395		
239081_at	1.64e-01	3.75e-02	2.174682	-4.1822174	0.6198265		
234374_at	1.64e-01	3.75e-02	-2.174607	-4.1823587	-0.542911		
241839_at	1.64e-01	3.75e-02	-2.173984	-4.1835333	-0.4847513	DLG3-AS1	DLG3 antisense RNA 1
230764_at	1.64e-01	3.76e-02	-2.17394	-4.1836153	-1.011803		
243008_at	1.64e-01	3.76e-02	-2.173537	-4.1843737	-0.5268016	RHEB	Ras homolog enriched in brain
234538_at	1.64e-01	3.76e-02	-2.173318	-4.1847873	-0.8975068		
235978_at	1.64e-01	3.76e-02	-2.172956	-4.1854686	-0.7670382	FABP4	fatty acid binding protein 4
228850_s_at	1.64e-01	3.76e-02	2.172938	-4.185502	0.7730517	SLIT2	slit guidance ligand 2
238264_at	1.64e-01	3.76e-02	-2.172924	-4.1855289	-0.5985508		
223308_s_at	1.64e-01	3.76e-02	-2.17279	-4.18578	-0.4116412	WDR5	WD repeat domain 5
238557_at	1.64e-01	3.77e-02	-2.172578	-4.1861797	-0.8416895	CHKB-AS1	CHKB antisense RNA 1 (head to head)
230481_at	1.64e-01	3.77e-02	-2.172369	-4.1865727	-0.6998515	ACY3	aminoacylase 3
234118_at	1.65e-01	3.77e-02	2.171665	-4.1878977	0.6415102		
243200_at	1.65e-01	3.77e-02	-2.171654	-4.1879172	-0.5093487		
225868_at	1.65e-01	3.78e-02	2.171299	-4.1885864	0.8027633	TRIM47	tripartite motif containing 47
231605_at	1.65e-01	3.78e-02	-2.170705	-4.1897035	-0.6767702		
242099_at	1.65e-01	3.78e-02	2.170649	-4.1898089	0.2948723		
225047_at	1.65e-01	3.78e-02	2.170505	-4.1900798	0.9650566	NUP58	nucleoporin 58
226954_at	1.65e-01	3.78e-02	2.170376	-4.1903225	0.2807428	UBE2R2	ubiquitin conjugating enzyme E2 R2
241281_at	1.65e-01	3.79e-02	2.170021	-4.1909897	0.3904452		
226697_at	1.65e-01	3.79e-02	-2.169898	-4.1912207	-1.1620681	FAM114A1	family with sequence similarity 114 member A1
236784_s_at	1.65e-01	3.79e-02	-2.169452	-4.1920595	-0.5125093		
233097_x_at	1.65e-01	3.80e-02	-2.168804	-4.1932777	-1.0476053		
223792_at	1.65e-01	3.80e-02	-2.16855	-4.1937547	-0.2942588	ZNF2	zinc finger protein 2
227880_s_at	1.65e-01	3.80e-02	2.16854	-4.1937731	0.5137327	TMEM185A	transmembrane protein 185A
239436_at	1.65e-01	3.80e-02	-2.168323	-4.1941816	-0.692913	CHORDC1	cysteine and histidine rich domain containing 1
239135_at	1.65e-01	3.80e-02	2.168137	-4.1945308	1.0087616	CPPED1	calcineurin like phosphoesterase domain containing 1
229514_at	1.65e-01	3.80e-02	2.168115	-4.1945729	0.7779217	GPATCH2L	G-patch domain containing 2 like
228743_at	1.65e-01	3.80e-02	2.167922	-4.194935	0.3093873	TXNDC17	thioredoxin domain containing 17
222611_s_at	1.66e-01	3.81e-02	-2.167417	-4.1958843	-0.6863551	PSPC1	paraspeckle component 1
239769_at	1.66e-01	3.81e-02	-2.167264	-4.1961702	-0.7058041		
226271_at	1.66e-01	3.81e-02	-2.167027	-4.1966157	-0.5142636	GDAP1	ganglioside induced differentiation associated protein 1
232489_at	1.66e-01	3.81e-02	2.166952	-4.1967561	1.0672666	TRMT13	tRNA methyltransferase 13 homolog
231642_at	1.66e-01	3.81e-02	2.166837	-4.1969722	0.5680731	C6orf201	chromosome 6 open reading frame 201
228251_at	1.66e-01	3.81e-02	2.166794	-4.1970542	0.693756		
241509_at	1.66e-01	3.81e-02	-2.166729	-4.1971768	-0.9852043		
236318_x_at	1.66e-01	3.81e-02	-2.166697	-4.1972362	-0.3541693	FBLL1	fibrillarin-like 1
224701_at	1.66e-01	3.82e-02	-2.16651	-4.1975873	-0.4929555	PARP14	poly(ADP-ribose) polymerase family member 14
224131_at	1.66e-01	3.82e-02	2.166316	-4.197951	0.6551952	HCAR1	hydroxycarboxylic acid receptor 1
241928_at	1.66e-01	3.82e-02	-2.166214	-4.1981431	-0.3118686		
235927_at	1.66e-01	3.82e-02	2.166082	-4.1983902	0.5102249	XPO1	exportin 1
224044_at	1.66e-01	3.82e-02	2.16602	-4.1985079	1.2464655	RHOT1	ras homolog family member T1
234177_at	1.66e-01	3.82e-02	2.165932	-4.1986728	0.6399369	LOC101927950	uncharacterized LOC101927950
231284_at	1.66e-01	3.82e-02	2.165837	-4.1988518	0.8051221	LOC100506406	uncharacterized LOC100506406
237973_at	1.66e-01	3.82e-02	2.165824	-4.1988761	0.7915467		
225837_at	1.66e-01	3.82e-02	-2.165802	-4.1989166	-0.478968	RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1
228498_at	1.66e-01	3.82e-02	2.165767	-4.1989824	0.5787593		
225351_at	1.66e-01	3.83e-02	2.165405	-4.1996625	0.3183293	FAM45A///FAM45BP	family with sequence similarity 45 member A///family with sequence similarity 45, member A pseudogene
242844_at	1.66e-01	3.83e-02	2.165331	-4.1998017	1.0252614	PGGT1B	protein geranylgeranyltransferase type I subunit beta
234409_at	1.66e-01	3.83e-02	-2.165192	-4.2000618	-0.9207135	ZNF354C	zinc finger protein 354C
227921_at	1.66e-01	3.83e-02	2.165079	-4.2002749	0.7703187	LOC105379499///FLJ45482	uncharacterized LOC105379499///uncharacterized LOC645566
224647_at	1.66e-01	3.83e-02	2.16488	-4.2006473	0.3438448	CCNY	cyclin Y
227857_at	1.66e-01	3.83e-02	-2.16486	-4.2006855	-0.3077183	APMAP	adipocyte plasma membrane associated protein
235479_at	1.66e-01	3.83e-02	-2.164633	-4.2011104	-0.269148	CPEB2	cytoplasmic polyadenylation element binding protein 2
244267_at	1.66e-01	3.83e-02	-2.164549	-4.2012689	-0.4895408	SATB1	SATB homeobox 1
236038_at	1.66e-01	3.84e-02	2.164164	-4.2019907	0.4692862	RNF150	ring finger protein 150
223793_at	1.66e-01	3.84e-02	-2.164066	-4.2021757	-0.5779251	PRRC2B	proline rich coiled-coil 2B
244651_at	1.66e-01	3.84e-02	2.163684	-4.2028923	0.5996118		
233107_at	1.66e-01	3.84e-02	-2.16363	-4.2029933	-0.5953564		
228893_at	1.66e-01	3.84e-02	-2.163542	-4.2031593	-0.5836136		
230691_at	1.66e-01	3.84e-02	-2.163506	-4.2032259	-0.4032407	STX1B	syntaxin 1B
238168_at	1.66e-01	3.84e-02	-2.163368	-4.2034853	-0.8727818	TM4SF1	transmembrane 4 L six family member 1
244210_at	1.66e-01	3.84e-02	-2.163308	-4.2035975	-0.4580093		
239899_at	1.66e-01	3.84e-02	-2.163296	-4.20362	-0.5195624	RNF145	ring finger protein 145
229165_at	1.66e-01	3.84e-02	-2.163188	-4.2038223	-0.3508438	MRPL12	mitochondrial ribosomal protein L12
240813_at	1.66e-01	3.85e-02	2.163055	-4.2040717	0.7670347		
235137_at	1.66e-01	3.85e-02	-2.162854	-4.2044498	-0.9762118	PCBP1-AS1	PCBP1 antisense RNA 1
244057_s_at	1.66e-01	3.85e-02	-2.162584	-4.2049555	-0.6921299	VSTM4	V-set and transmembrane domain containing 4
234944_s_at	1.66e-01	3.85e-02	-2.162343	-4.2054078	-0.7489545	MTFR2	mitochondrial fission regulator 2
241874_at	1.66e-01	3.85e-02	2.162231	-4.2056186	0.2919555	IGIP	IgA inducing protein
225729_at	1.66e-01	3.85e-02	2.162102	-4.2058607	0.2503781	C6orf89	chromosome 6 open reading frame 89
223257_at	1.66e-01	3.85e-02	2.161921	-4.2061996	0.7767287	G2E3	G2/M-phase specific E3 ubiquitin protein ligase
233696_at	1.66e-01	3.86e-02	-2.161869	-4.2062965	-0.3388467		
235454_at	1.66e-01	3.86e-02	2.16177	-4.2064822	1.017168		
227486_at	1.66e-01	3.86e-02	2.161145	-4.2076532	0.719076	NT5E	5'-nucleotidase ecto
240028_at	1.66e-01	3.86e-02	-2.161057	-4.2078182	-1.0859782	FSIP2	fibrous sheath interacting protein 2
234216_at	1.66e-01	3.86e-02	2.161005	-4.2079172	0.5335987	FLJ21408	uncharacterized LOC400512
236425_at	1.66e-01	3.86e-02	-2.160847	-4.2082123	-0.670572		
231498_at	1.66e-01	3.86e-02	2.160711	-4.2084678	0.5901265		
236140_at	1.66e-01	3.86e-02	2.160695	-4.2084985	1.0614132	GCLM	glutamate-cysteine ligase modifier subunit
231930_at	1.66e-01	3.87e-02	2.160548	-4.2087738	0.6702105	LOC643923///ELMOD1	uncharacterized LOC643923///ELMO domain containing 1
223174_at	1.66e-01	3.87e-02	2.160227	-4.2093744	0.4975357	BTBD10	BTB domain containing 10
228999_at	1.66e-01	3.87e-02	2.160061	-4.2096855	0.6448143	CHD2	chromodomain helicase DNA binding protein 2
232463_at	1.66e-01	3.87e-02	2.160005	-4.2097905	0.4608033	LINC00685	long intergenic non-protein coding RNA 685
234049_at	1.66e-01	3.87e-02	-2.159836	-4.2101075	-0.3770367	FAM86B3P	family with sequence similarity 86, member A pseudogene
238102_s_at	1.66e-01	3.87e-02	2.159767	-4.210236	0.9461856	BTBD19	BTB domain containing 19
229852_at	1.66e-01	3.87e-02	-2.15972	-4.2103252	-0.3835367	NMNAT1	nicotinamide nucleotide adenylyltransferase 1
223365_at	1.67e-01	3.88e-02	-2.159384	-4.2109538	-0.8687897	DHX37	DEAH-box helicase 37
230544_at	1.67e-01	3.88e-02	2.159323	-4.2110695	0.7962436	RPS6KA4	ribosomal protein S6 kinase A4
232808_at	1.67e-01	3.88e-02	2.158751	-4.2121412	0.619407		
235127_at	1.67e-01	3.88e-02	-2.158665	-4.2123008	-1.1183486	PMP2	peripheral myelin protein 2
239180_at	1.67e-01	3.89e-02	-2.158053	-4.2134478	-0.4046312	MMP25-AS1	MMP25 antisense RNA 1
226710_at	1.67e-01	3.89e-02	-2.157612	-4.2142727	-0.3968222	C8orf82	chromosome 8 open reading frame 82
229222_at	1.67e-01	3.89e-02	2.157188	-4.2150666	0.4069607	ACSS3	acyl-CoA synthetase short-chain family member 3
223408_s_at	1.67e-01	3.90e-02	2.157087	-4.2152559	0.7368489	FOXK2	forkhead box K2
237249_at	1.67e-01	3.90e-02	-2.156954	-4.2155058	-0.8479387	LOC101927338///KCNQ1OT1	uncharacterized LOC101927338///KCNQ1 opposite strand/antisense transcript 1 (non-protein coding)
242487_at	1.67e-01	3.90e-02	-2.156897	-4.215613	-0.3453633	CC2D1B	coiled-coil and C2 domain containing 1B
240013_at	1.67e-01	3.90e-02	-2.156798	-4.215798	-0.5193555		
227958_s_at	1.67e-01	3.90e-02	-2.156614	-4.2161412	-0.6339486	GSN	gelsolin
243383_at	1.67e-01	3.90e-02	-2.156534	-4.2162911	-0.2866793		
236052_at	1.67e-01	3.90e-02	-2.156531	-4.2162982	-0.5117867	TRNP1	TMF1-regulated nuclear protein 1
234711_s_at	1.67e-01	3.90e-02	-2.156299	-4.2167323	-0.3705683	BCORL1	BCL6 corepressor-like 1
244108_at	1.67e-01	3.90e-02	-2.156235	-4.216851	-0.7790231	SYNPO2	synaptopodin 2
224899_s_at	1.67e-01	3.90e-02	2.155952	-4.2173812	0.4059274	MAGT1	magnesium transporter 1
239542_at	1.67e-01	3.91e-02	-2.155834	-4.2176028	-0.9016617	ITPR3	inositol 1,4,5-trisphosphate receptor type 3
232039_at	1.67e-01	3.91e-02	2.155403	-4.2184093	0.8747207	MAP10	microtubule associated protein 10
244805_at	1.68e-01	3.91e-02	-2.15506	-4.2190501	-0.5298656		
236842_at	1.68e-01	3.91e-02	-2.155041	-4.2190857	-0.4924775	THCAT158	thyroid cancer-associated transcript 158
228130_at	1.68e-01	3.91e-02	-2.15486	-4.2194245	-0.2877215	ZSCAN30	zinc finger and SCAN domain containing 30
237146_at	1.68e-01	3.92e-02	-2.154635	-4.2198453	-0.5829464		
223739_at	1.68e-01	3.92e-02	-2.154595	-4.2199209	-0.4594221	PADI1	peptidyl arginine deiminase 1
224925_at	1.68e-01	3.92e-02	-2.154578	-4.2199526	-0.6314024	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
223751_x_at	1.68e-01	3.92e-02	2.154416	-4.2202544	0.6227221	TLR10	toll like receptor 10
228093_at	1.68e-01	3.92e-02	2.154371	-4.2203394	0.8322797	ZNF599	zinc finger protein 599
226856_at	1.68e-01	3.92e-02	-2.154324	-4.2204264	-0.394234	TMEM110-MUSTN1///MUSTN1///TMEM110	TMEM110-MUSTN1 readthrough///musculoskeletal, embryonic nuclear protein 1///transmembrane protein 110
244314_at	1.68e-01	3.92e-02	2.154171	-4.2207137	0.9883949		
232574_at	1.68e-01	3.92e-02	-2.154169	-4.2207163	-0.9333605	XYLT1	xylosyltransferase 1
227494_at	1.68e-01	3.92e-02	-2.154044	-4.2209509	-0.4711322	NR6A1	nuclear receptor subfamily 6 group A member 1
241381_at	1.68e-01	3.92e-02	-2.153716	-4.2215642	-0.3142253	CXorf36	chromosome X open reading frame 36
236724_at	1.68e-01	3.92e-02	-2.153616	-4.2217509	-0.6827308	CFC1	cripto, FRL-1, cryptic family 1
238776_x_at	1.68e-01	3.93e-02	-2.15261	-4.2236311	-0.4266161	OBSL1	obscurin like 1
222726_s_at	1.68e-01	3.93e-02	2.152508	-4.2238224	0.3812539	EXOC5	exocyst complex component 5
226831_at	1.68e-01	3.94e-02	2.152226	-4.2243489	0.4181601	SLC25A46	solute carrier family 25 member 46
225787_at	1.68e-01	3.94e-02	-2.151982	-4.2248066	-0.2926644	UBE2F	ubiquitin conjugating enzyme E2 F (putative)
224985_at	1.68e-01	3.94e-02	2.151868	-4.2250187	0.3355279	NRAS	neuroblastoma RAS viral oncogene homolog
230965_at	1.68e-01	3.94e-02	-2.151797	-4.2251519	-0.6733028	USP2	ubiquitin specific peptidase 2
233057_at	1.68e-01	3.94e-02	-2.151722	-4.2252916	-0.4139985	HSPB8	heat shock protein family B (small) member 8
239839_at	1.68e-01	3.94e-02	-2.151469	-4.2257647	-0.5978974	ZNF555	zinc finger protein 555
230461_s_at	1.68e-01	3.94e-02	2.15125	-4.2261739	0.751472	MUM1	melanoma associated antigen (mutated) 1
226002_at	1.68e-01	3.95e-02	2.151116	-4.2264241	0.5499962	GAB1	GRB2 associated binding protein 1
232517_s_at	1.68e-01	3.95e-02	2.151101	-4.2264513	0.485416	HELZ2	helicase with zinc finger 2
235722_at	1.68e-01	3.95e-02	-2.151031	-4.2265821	-0.9890524	SYNJ2BP-COX16///SYNJ2BP	SYNJ2BP-COX16 readthrough///synaptojanin 2 binding protein
236576_at	1.68e-01	3.95e-02	2.150327	-4.2278984	0.4137005	CTNNA3	catenin alpha 3
240037_at	1.68e-01	3.95e-02	-2.150207	-4.2281217	-0.3901229	ITPRIPL1	inositol 1,4,5-trisphosphate receptor interacting protein-like 1
236195_x_at	1.68e-01	3.95e-02	-2.150107	-4.2283084	-0.3827766	PRKCG	protein kinase C gamma
232682_at	1.68e-01	3.95e-02	-2.150079	-4.2283608	-0.536821	MREG	melanoregulin
237328_at	1.69e-01	3.96e-02	2.14977	-4.2289382	0.7306421	C14orf105	chromosome 14 open reading frame 105
